vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_GloVe,100,cnn,0,781.0606786999997,205.0831257999962,0.9922789539227895,0.9944981213097155,0.9889244729116626,0.9917034658102502
Pt-BR_GloVe,100,cnn,1,91.61719839999569,200.10465989999648,0.9927148194271482,0.9943707277844793,0.9899919935948759,0.9921765295887662
Pt-BR_GloVe,100,cnn,2,92.82906390000426,195.87685670000792,0.9926525529265255,0.9931799946509762,0.9910595142780891,0.9921186214266631
Pt-BR_GloVe,100,cnn,3,99.4015769999969,202.9334416000056,0.9926525529265255,0.9923898531375167,0.991860154790499,0.9921249332621462
Pt-BR_GloVe,100,cnn,4,97.95050740000443,222.7105040000024,0.9925280199252802,0.9926509887760556,0.9913263944488925,0.9919882494325011
Pt-BR_GloVe,100,cnn,5,93.74316699999326,201.8955552999978,0.9928393524283935,0.9929191716766868,0.9917267147050974,0.9923225849522666
Pt-BR_GloVe,100,cnn,6,90.95978109999851,194.23962959999335,0.9925902864259029,0.9929153856436306,0.9911929543634908,0.9920534223706178
Pt-BR_GloVe,100,cnn,7,93.65361819999816,214.2565845999925,0.9925902864259029,0.9927836429239609,0.9913263944488925,0.9920544835414301
Pt-BR_GloVe,100,cnn,8,93.95448970000143,186.7322048999922,0.9923412204234122,0.9931754315535929,0.9903923138510808,0.9917819202244937
Pt-BR_GloVe,100,cnn,9,78.61965839999903,134.93952729999728,0.9924657534246575,0.9927817136746424,0.9910595142780891,0.9919198664440734
Pt-BR_GloVe,300,cnn,0,288.9757001000107,214.60168940000585,0.9932752179327522,0.994245182012848,0.9913263944488925,0.992783642923961
Pt-BR_GloVe,300,cnn,1,272.477810899989,223.86864959998638,0.9930261519302616,0.9934491978609625,0.9915932746196957,0.9925203686389743
Pt-BR_GloVe,300,cnn,2,268.61127649998525,209.62865509997937,0.9927770859277708,0.9926549145299145,0.991860154790499,0.9922573755172874
Pt-BR_GloVe,300,cnn,3,284.76643029999104,192.10798990001786,0.9937110834371108,0.9924070867190622,0.9941286362423272,0.9932671155256316
Pt-BR_GloVe,300,cnn,4,272.50714770000195,220.5367285000102,0.9929638854296389,0.991869918699187,0.9930611155591139,0.9924651596986064
Pt-BR_GloVe,300,cnn,5,270.2212945999927,200.16162640001858,0.9932752179327522,0.9930574098798398,0.9925273552175073,0.9927923117992526
Pt-BR_GloVe,300,cnn,6,275.2471894000191,233.65033049997874,0.9934620174346201,0.992797118847539,0.9931945556445156,0.9929957974784871
Pt-BR_GloVe,300,cnn,7,278.41383129998576,234.72056490002433,0.9929638854296389,0.9939767099451211,0.9909260741926875,0.992449047778149
Pt-BR_GloVe,300,cnn,8,267.6918974999862,213.5114978000056,0.9930884184308841,0.9934500735195829,0.9917267147050974,0.9925876460767947
Pt-BR_GloVe,300,cnn,9,266.87675170000875,232.40824679998332,0.9933997509339975,0.9939823482214496,0.991860154790499,0.9929201175527652
Pt-BR_GloVe,600,cnn,0,745.1534155000118,654.3821120999928,0.9929638854296389,0.993844506891476,0.9910595142780891,0.9924500567916082
Pt-BR_GloVe,600,cnn,1,711.1551032999996,328.91649569998845,0.9929638854296389,0.9937123745819398,0.9911929543634908,0.9924510655354399
Pt-BR_GloVe,600,cnn,2,708.5959447000059,329.6345190000138,0.9930884184308841,0.9930546280219046,0.9921270349613024,0.9925906147787198
Pt-BR_GloVe,600,cnn,3,555.8028806999791,306.53168380001443,0.9931506849315068,0.9938469769930444,0.9914598345342941,0.9926519706078825
Pt-BR_GloVe,600,cnn,4,398.9819018999988,310.841831800004,0.9926525529265255,0.9919957310565635,0.992260475046704,0.9921280853902601
Pt-BR_GloVe,600,cnn,5,407.8752075000084,322.6631043999805,0.9926525529265255,0.9927846071619455,0.9914598345342941,0.992121778608626
Pt-BR_GloVe,600,cnn,6,401.37763679999625,306.07450529999915,0.9928393524283935,0.9958338932939121,0.988791032826261,0.9922999665215936
Pt-BR_GloVe,600,cnn,7,419.266386400006,307.40750939998543,0.9930884184308841,0.9949054833087545,0.9902588737656792,0.9925767404534207
Pt-BR_GloVe,600,cnn,8,400.6945161000185,305.4493378000043,0.9931506849315068,0.9950388844194153,0.9902588737656792,0.9926431246655966
Pt-BR_GloVe,600,cnn,9,405.54768799999147,309.01280090000364,0.9926525529265255,0.9935760171306209,0.9906591940218842,0.9921154617132166
Pt-BR_GloVe,1000,cnn,0,715.3703894000209,431.606789500016,0.9931506849315068,0.9951716738197425,0.9901254336802775,0.9926421404682274
Pt-BR_GloVe,1000,cnn,1,681.2984074999986,424.80769919999875,0.9927770859277708,0.9929182255478354,0.9915932746196957,0.992255307784751
Pt-BR_GloVe,1000,cnn,2,689.1224303999916,427.26643799999147,0.9932752179327522,0.9926627534685165,0.9929276754737123,0.9927951967978653
Pt-BR_GloVe,1000,cnn,3,678.3329038000084,440.6961939999892,0.9927770859277708,0.9931818181818182,0.9913263944488925,0.9922532389475089
Pt-BR_GloVe,1000,cnn,4,685.7518709999858,434.4791943000164,0.9929638854296389,0.9941089837997055,0.9907926341072858,0.9924480384949543
Pt-BR_GloVe,1000,cnn,5,687.2659369999892,432.4889353000035,0.9927148194271482,0.9926539334847069,0.9917267147050974,0.9921901074694613
Pt-BR_GloVe,1000,cnn,6,680.1107940999791,428.36274760001106,0.9933374844333749,0.9927951967978652,0.9929276754737123,0.992861431716592
Pt-BR_GloVe,1000,cnn,7,667.4968391000002,424.94896739997785,0.9927770859277708,0.9926549145299145,0.991860154790499,0.9922573755172874
Pt-BR_GloVe,1000,cnn,8,673.1649058000185,418.4561920000124,0.9930261519302616,0.9934491978609625,0.9915932746196957,0.9925203686389743
Pt-BR_GloVe,1000,cnn,9,684.4232390999969,411.71848420001334,0.9927770859277708,0.9942390139335477,0.9902588737656792,0.9922449525337613
